run_id,run_number,run_attempt,commit_sha,commit_message,status,workflow_duration,job_name,job_status,job_duration,step_name,step_status,step_duration,test_count,test_failures,average_test_time,timestamp,run_url
27079405132,13,1,d407875c6d1266ea3f86f872ecee7bcad62d736b,run 13: restore green pipeline state,success,31.0,Test parallel,success,20.0,Install dependencies,success,13.0,51,0,0.001667,2026-06-07T01:39:42Z,https://github.com/JoaoGuilhermeSalomao/pond-m10-s7/actions/runs/27079405132
27079405132,13,1,d407875c6d1266ea3f86f872ecee7bcad62d736b,run 13: restore green pipeline state,success,31.0,Test parallel,success,20.0,Run tests,success,0.0,51,0,0.001667,2026-06-07T01:39:42Z,https://github.com/JoaoGuilhermeSalomao/pond-m10-s7/actions/runs/27079405132
27079405132,13,1,d407875c6d1266ea3f86f872ecee7bcad62d736b,run 13: restore green pipeline state,success,31.0,Test parallel,success,20.0,Upload test artifact,success,1.0,51,0,0.001667,2026-06-07T01:39:42Z,https://github.com/JoaoGuilhermeSalomao/pond-m10-s7/actions/runs/27079405132
27079405132,13,1,d407875c6d1266ea3f86f872ecee7bcad62d736b,run 13: restore green pipeline state,success,31.0,Test parallel,success,20.0,Post Restore pip cache,success,0.0,51,0,0.001667,2026-06-07T01:39:42Z,https://github.com/JoaoGuilhermeSalomao/pond-m10-s7/actions/runs/27079405132
27079405132,13,1,d407875c6d1266ea3f86f872ecee7bcad62d736b,run 13: restore green pipeline state,success,31.0,Test parallel,success,20.0,Post Setup Python,success,0.0,51,0,0.001667,2026-06-07T01:39:42Z,https://github.com/JoaoGuilhermeSalomao/pond-m10-s7/actions/runs/27079405132
27079405132,13,1,d407875c6d1266ea3f86f872ecee7bcad62d736b,run 13: restore green pipeline state,success,31.0,Test parallel,success,20.0,Post Checkout repository,success,0.0,51,0,0.001667,2026-06-07T01:39:42Z,https://github.com/JoaoGuilhermeSalomao/pond-m10-s7/actions/runs/27079405132
27079405132,13,1,d407875c6d1266ea3f86f872ecee7bcad62d736b,run 13: restore green pipeline state,success,31.0,Test parallel,success,20.0,Complete job,success,1.0,51,0,0.001667,2026-06-07T01:39:42Z,https://github.com/JoaoGuilhermeSalomao/pond-m10-s7/actions/runs/27079405132
27079405132,13,1,d407875c6d1266ea3f86f872ecee7bcad62d736b,run 13: restore green pipeline state,success,31.0,Lint sequential,skipped,0.0,,,0.0,51,0,0.001667,2026-06-07T01:39:42Z,https://github.com/JoaoGuilhermeSalomao/pond-m10-s7/actions/runs/27079405132
27079405132,13,1,d407875c6d1266ea3f86f872ecee7bcad62d736b,run 13: restore green pipeline state,success,31.0,Test sequential,skipped,0.0,,,0.0,51,0,0.001667,2026-06-07T01:39:42Z,https://github.com/JoaoGuilhermeSalomao/pond-m10-s7/actions/runs/27079405132
27079401855,12,1,d3b9f5f30f2f5594e402bc1c0494cbb090138f40,run 12: introduce second controlled failing test,failure,37.0,Read experiment configuration,success,5.0,Set up job,success,0.0,51,1,0.002431,2026-06-07T01:39:32Z,https://github.com/JoaoGuilhermeSalomao/pond-m10-s7/actions/runs/27079401855
